strategy,ops_sec,p50_us,p99_us,p999_us,calls
"single set (w=1)",80,13129,21570,38663,1199
"single set (w=10)",459,20673,46654,61408,6880
"single set (w=50)",1242,37551,90839,113049,18623
"single set (w=100)",1976,47684,111321,144636,29641
"batch_set b=10 w=50",8927,53080,104121,119718,13390
"batch_set b=50 w=50",27593,89530,164102,191196,8278
"batch_set b=100 w=50",40793,113928,524675,698016,6119
"batch_set b=500 w=50",103500,227693,471489,528662,3105
"batch_set b=1000 w=50",142800,343363,664733,698465,2142
"batch=100 w=1",3113,31840,63726,69181,467
"batch=100 w=10",16040,60657,107957,143889,2406
"batch=100 w=50",42127,118764,226781,261931,6319
"batch=100 w=100",53340,181602,377215,448824,8001
"batch=100 w=200",66527,297910,547246,656103,9979